ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Дроздов Викентий Егорович;Группа 31;10/1/22;Младший специалист;Чита;0;38;34,2;0;0,61
Ковалёв Куприян Бедросович;Группа 9;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;154;22;0;0,65
Беспалов Сильвестр Платонович;Группа 24;10/1/22;Специалист;Кемерово;44;75;31;0;0,51
Шашков Никанор Вячеславович;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;42;92;50;0;0,73
Фролов Сергей Владимирович;Группа 20;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;55;49,5;0;0,56
Лаврентьев Мирослав Егорович;Группа 19;10/1/22;Младший специалист;Пенза;46;133;36;51;0,91
Филиппов Хрисанф Филиппович;Группа 7;10/1/22;Младший специалист;Брянск;0;56;50,4;0;0,91
Крылов Ираклий Павлович;Группа 24;10/1/22;Младший специалист;Кемерово;0;88;58;30;0,55
Волков Борис Валентинович;Группа 13;10/1/22;Младший специалист;Ростов;0;47;42,3;0;0,93
Ковалёв Фирс Филиппович;Группа 12;10/1/22;Младший специалист;Ростов;49;128;79;0;0,52
Селиверстов Кирилл Станиславович;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;55;49,5;0;0,92
Доронин Софрон Борисович;Группа 19;10/1/22;Младший специалист;Пенза;0;162;85;0;0,65
Исаков Геннадий Валерьевич;Группа 39;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;162;113;49;0,52
Кириллов Виталий Владиславович;Группа 31;10/1/22;Младший специалист;Чита;0;56;50,4;0;0,70
Зайцев Ириней Константинович;Группа 31;10/1/22;Специалист;Чита;57;77;20;0;0,82
Филатов Онисим Константинович;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;135;53;57;0,89
Цветков Онисим Игоревич;Группа 17;10/1/22;Младший специалист;Пенза;61;155;94;0;0,69
Морозов Геннадий Валерьевич;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;37;27;0;0,99
Шашков Алексей Максимович;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;123;110,7;12,3;0,61
Сафонов Леонтий Артемович;Группа 26;10/1/22;Младший специалист;Кемерово;0;78;70,2;0;0,90
Мельников Евсей Васильевич;Группа 14;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;83;64;0;0,62
Баранов Виссарион Богданович;Группа 2;10/1/22;Младший специалист;Вологда;0;31;27,9;0;0,91
Лобанов Тит Аркадьевич;Группа 34;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;48;61;13;0;0,54
Емельянов Федот Максимович;Группа 21;10/1/22;Младший специалист;Пенза;42;116;74;0;0,74
Рябов Акиндин Олегович;Группа 24;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;117;47;0;0,65
Власов Ждан Константинович;Группа 24;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;67;53;0;0,93
Вишняков Виталий Владимирович;Группа 34;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;59;53,1;0;0,98
Семёнов Андрей Петрович;Группа 5;10/1/22;Специалист;Вологда;0;36;32,4;0;0,61
Стрелков Изот Олегович;Группа 26;10/1/22;Специалист;Кемерово;38;54;16;0;0,57
Калашников Агапит Олегович;Группа 21;10/1/22;Специалист;Пенза;0;94;84,6;0;0,54
Горбачёв Всеволод Петрович;Группа 3;10/1/22;Младший специалист;Вологда;0;136;53;0;0,72
Беляев Серафим Александрович;Группа 13;10/1/22;Специалист;Ростов;0;92;82,8;0;0,98
Шаров Марк Геннадиевич;Группа 2;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;64;80;16;0;0,60
Веселов Мина Григорьевич;Группа 12;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;36;89;53;0;0,74
Тихонов Фёдор Егорович;Группа 24;10/1/22;Младший специалист;Кемерово;0;106;95,4;10,6;0,70
Большаков Владислав Алексеевич;Группа 22;10/1/22;Младший специалист;Пенза;0;69;62,1;0;0,52
Ларионов Вячеслав Антонович;Группа 4;10/1/22;Специалист;Вологда;0;82;64;18;0,92
Афанасьев Савелий Борисович;Группа 29;10/1/22;Младший специалист;Кемерово;0;58;32;0;0,68
Русаков Емельян Семенович;Группа 9;10/1/22;Специалист;Брянск;0;107;96,3;0;0,80
Соколов Паисий Анатольевич;Группа 29;10/1/22;Специалист;Кемерово;0;84;75,6;0;0,56
Гришин Логгин Владимирович;Группа 4;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;75;67,5;0;0,78
Новиков Кондрат Александрович;Группа 28;10/1/22;Специалист;Кемерово;0;40;36;0;0,75
Уваров Созон Антонович;Группа 20;10/1/22;Младший специалист;Пенза;0;57;51,3;0;0,72
Рябов Магистриан Яковлевич;Группа 39;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;53;34;19;0,51
Силин Тимофей Яковлевич;Группа 28;10/1/22;Младший специалист;Кемерово;0;147;133;0;0,61
Игнатов Тарас Ярославович;Группа 16;10/1/22;Специалист;Ростов;65;184;119;0;0,55
Александров Мартын Ярославович;Группа 24;10/1/22;Младший специалист;Кемерово;0;106;72;34;0,56
Симонов Логгин Викторович;Группа 28;10/1/22;Младший специалист;Кемерово;0;95;56;39;0,92
Яковлев Онуфрий Романович;Группа 32;10/1/22;Младший специалист;Чита;46;126;25;55;0,82
Гаврилов Тит Владиславович;Группа 31;10/1/22;Специалист;Чита;0;43;30;0;0,87
Евдокимов Антонин Георгиевич;Группа 8;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;81;73;0;0,89
Киселёв Пров Геннадиевич;Группа 23;10/1/22;Специалист;Пенза;0;96;37;42;0,74
Антонов Антонин Александрович;Группа 22;10/1/22;Младший специалист;Пенза;0;151;148;0;0,64
Рыбаков Василий Анатольевич;Группа 14;10/1/22;Специалист;Ростов;0;112;100,8;0;0,73
Русаков Прохор Степанович;Группа 3;10/1/22;Специалист;Вологда;31;172;76;65;0,75
Афанасьев Протасий Михайлович;Группа 9;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;60;54;0;0,91
Савин Кондрат Богданович;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;109;98,1;10,9;0,94
Рожков Матвей Игоревич;Группа 24;10/1/22;Младший специалист;Кемерово;0;148;102;46;1,00
Новиков Вадим Алексеевич;Группа 28;10/1/22;Специалист;Кемерово;61;179;118;0;0,93
Калашников Владлен Антонович;Группа 37;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;50;45;0;0,50
Осипов Варсонофий Бедросович;Группа 18;10/1/22;Специалист;Пенза;0;64;47;0;0,90
Ситников Игорь Владиславович;Группа 7;10/1/22;Младший специалист;Брянск;33;51;18;0;0,62
Марков Антонин Валентинович;Группа 12;10/1/22;Специалист;Ростов;0;55;49,5;0;0,59
Соловьёв Фирс Платонович;Группа 24;10/1/22;Специалист;Кемерово;0;145;124;0;0,80
Авдеев Разумник Андреевич;Группа 17;10/1/22;Специалист;Пенза;0;171;109;50;0,60
Волков Игорь Исаакович;Группа 27;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;87;61;26;0,89
Куликов Борис Иваныч;Группа 34;10/1/22;Младший специалист;Чита;0;171;156;0;0,71
Назаров Мстислав Ильич;Группа 3;10/1/22;Специалист;Вологда;0;104;93,6;10,4;0,72
Горбачёв Онисим Сергеевич;Группа 15;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;69;52;0;0,96
Лапин Альберт Иванович;Группа 11;10/1/22;Младший специалист;Брянск;0;128;43;0;0,61
Лебедев Ким Матвеевич;Группа 34;10/1/22;Специалист;Чита;0;75;67,5;0;0,88
Филатов Федот Денисович;Группа 4;10/1/22;Специалист;Вологда;0;180;17;0;0,86
Дементьев Валентин Петрович;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;67;60,3;0;0,64
Князев Серафим Владиславович;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;49;131;36;46;0,87
Калашников Дорофей Игоревич;Группа 31;10/1/22;Специалист;Чита;0;96;86,4;0;0,62
Рыбаков Данакт Георгиевич;Группа 23;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;85;10;0;0,71
Марков Ерофей Денисович;Группа 9;10/1/22;Специалист;Брянск;35;133;33;65;0,78
Новиков Аристарх Тарасович;Группа 30;10/1/22;Младший специалист;Чита;0;186;15;0;0,95
Рогов Пантелеймон Тарасович;Группа 39;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;165;34;0;0,93
Терентьев Мирослав Семенович;Группа 28;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;133;119,7;0;0,74
Беляков Сергей Денисович;Группа 5;10/1/22;Специалист;Вологда;0;153;22;0;0,84
Быков Феликс Николаевич;Группа 6;10/1/22;Младший специалист;Брянск;0;84;64;0;0,98
Антонов Сила Антонович;Группа 26;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;82;73,8;0;0,94
Андреев Ким Михайлович;Группа 33;10/1/22;Специалист;Чита;0;133;33;0;0,85
Кулагин Никон Павлович;Группа 13;10/1/22;Младший специалист;Ростов;57;183;64;62;0,58
Иванов Родион Васильевич;Группа 18;10/1/22;Младший специалист;Пенза;59;144;85;0;0,59
Иванов Руслан Робертович;Группа 18;10/1/22;Младший специалист;Пенза;48;113;24;41;0,88
Орехов Евгений Эдуардович;Группа 29;10/1/22;Младший специалист;Кемерово;0;159;14;0;0,86
Туров Никон Викторович;Группа 3;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;179;66;0;0,80
Гусев Валентин Владиславович;Группа 31;10/1/22;Младший специалист;Чита;0;124;111,6;0;0,89
Пестов Конон Аркадьевич;Группа 6;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;114;27;0;0,60
Шаров Глеб Дмитриевич;Группа 34;10/1/22;Младший специалист;Чита;0;67;60,3;0;0,64
Прохоров Феоктист Данилович;Группа 16;10/1/22;Специалист;Ростов;44;152;108;0;0,80
Кириллов Ростислав Аркадьевич;Группа 18;10/1/22;Специалист;Пенза;0;161;157;0;0,68
Щукин Гордей Андреевич;Группа 11;10/1/22;Специалист;Брянск;0;41;36,9;0;0,69
Романов Тихон Васильевич;Группа 11;10/1/22;Младший специалист;Брянск;0;167;116;51;0,59
Кошелев Никифор Феликсович;Группа 6;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;114;102,6;11,4;0,50
Шилов Германн Григорьевич;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;73;65,7;0;0,96
Кудрявцев Хрисанф Яковлевич;Группа 12;10/1/22;Специалист;Ростов;0;158;14;51;0,94
Кириллов Мартын Львович;Группа 21;10/1/22;Специалист;Пенза;0;51;16;35;0,93
Ермаков Кондрат Аркадьевич;Группа 7;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;119;93;0;0,69
Куликов Логгин Робертович;Группа 28;10/1/22;Специалист;Кемерово;0;172;63;0;0,52
Семёнов Авдей Ильич;Группа 34;10/1/22;Специалист;Чита;54;126;72;0;0,90
Калашников Созон Геннадиевич;Группа 5;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;37;16;0;0,70
Копылов Сильвестр Геннадиевич;Группа 21;10/1/22;Младший специалист;Пенза;0;122;109,8;0;0,96
Носков Богдан Максимович;Группа 32;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;121;108,9;12,1;0,53
Шашков Павел Станиславович;Группа 25;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;187;124;61;0,60
Новиков Виссарион Артемович;Группа 5;10/1/22;Младший специалист;Вологда;0;62;55,8;0;0,98
Меркушев Валентин Данилович;Группа 15;10/1/22;Специалист;Ростов;0;180;108;0;0,58
Якушев Фаддей Владиславович;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;81;72,9;0;0,81
Мухин Святополк Игоревич;Группа 7;10/1/22;Младший специалист;Брянск;0;45;40,5;0;0,98
Авдеев Корнилий Иваныч;Группа 20;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;79;71,1;0;0,77
Лобанов Артём Геннадиевич;Группа 22;10/1/22;Младший специалист;Пенза;47;177;89;41;0,88
Савин Данакт Платонович;Группа 9;10/1/22;Младший специалист;Брянск;0;55;49,5;0;0,94
Никифоров Лукий Леонидович;Группа 11;10/1/22;Специалист;Брянск;0;43;38,7;0;0,51
Макаров Святополк Леонидович;Группа 22;10/1/22;Младший специалист;Пенза;0;78;69;0;0,57
Горбачёв Потап Павлович;Группа 12;10/1/22;Специалист;Ростов;0;172;154;0;0,72
Иванов Лукьян Федорович;Группа 24;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;153;78;0;0,75
Федосеев Савва Васильевич;Группа 27;10/1/22;Младший специалист;Кемерово;0;160;42;0;0,74
Матвеев Климент Андреевич;Группа 21;10/1/22;Младший специалист;Пенза;0;49;44,1;0;0,68
Мартынов Мамонт Иванович;Группа 31;10/1/22;Младший специалист;Чита;0;38;34,2;0;1,00
Виноградов Варлам Львович;Группа 1;10/1/22;Младший специалист;Вологда;43;175;132;0;0,51
Киселёв Лукьян Игоревич;Группа 10;10/1/22;Специалист;Брянск;0;59;21;38;0,98
Князев Добрыня Артемович;Группа 8;10/1/22;Младший специалист;Брянск;0;180;52;0;0,70
Рогов Урбан Максимович;Группа 11;10/1/22;Младший специалист;Брянск;0;138;124,2;0;0,56
Морозов Дорофей Анатольевич;Группа 31;10/1/22;Специалист;Чита;68;94;26;0;0,99
Воронов Варлам Васильевич;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;153;91;47;0,88
Ковалёв Капитон Александрович;Группа 4;10/1/22;Специалист;Вологда;0;154;124;0;0,84
Зыков Варлам Матвеевич;Группа 13;10/1/22;Младший специалист;Ростов;0;45;40,5;0;0,64
Антонов Панкратий Матвеевич;Группа 28;10/1/22;Младший специалист;Кемерово;47;114;67;0;0,65
Давыдов Артём Матвеевич;Группа 20;10/1/22;Младший специалист;Пенза;0;127;18;0;0,89
Ситников Григорий Яковлевич;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;41;131;90;0;0,86
Давыдов Мамонт Валентинович;Группа 18;10/1/22;Специалист;Пенза;0;46;41,4;0;0,96
Кулаков Лукьян Константинович;Группа 34;10/1/22;Специалист;Чита;0;88;79,2;0;0,95
Кулагин Сергей Павлович;Группа 37;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;159;59;0;0,54
Маслов Евгений Станиславович;Группа 33;10/1/22;Специалист;Чита;0;108;97,2;0;0,79
Комаров Софрон Федорович;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;30;27;0;0,51
Уваров Серафим Эдуардович;Группа 3;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;132;46;68;0,52
Наумов Добрыня Игнатьевич;Группа 15;10/1/22;Специалист;Ростов;0;111;30;0;0,60
Воронов Корнилий Данилович;Группа 14;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;53;161;108;0;0,57
Архипов Никон Павлович;Группа 30;10/1/22;Специалист;Чита;45;155;110;0;0,52
Князев Тарас Валентинович;Группа 8;10/1/22;Младший специалист;Брянск;0;164;141;0;0,71
Веселов Арсений Матвеевич;Группа 6;10/1/22;Младший специалист;Брянск;0;108;97,2;0;0,77
Григорьев Пахомий Ильич;Группа 30;10/1/22;Младший специалист;Чита;0;91;11;0;0,91
Шестаков Ефрем Максимович;Группа 12;10/1/22;Специалист;Ростов;0;43;38,7;0;0,77
Горшков Игнатий Анатольевич;Группа 7;10/1/22;Специалист;Брянск;0;159;116;43;0,93
Лапин Никодим Константинович;Группа 29;10/1/22;Специалист;Кемерово;0;94;84,6;0;0,99
Калинин Дмитрий Степанович;Группа 29;10/1/22;Младший специалист;Кемерово;0;159;145;14;0,88
Фомин Алексей Георгиевич;Группа 1;10/1/22;Специалист;Вологда;0;65;12;53;0,98
Беляев Зиновий Филиппович;Группа 25;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;76;75;0;0,96
Савин Александр Николаевич;Группа 29;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;39;35,1;0;0,56
Морозов Мелентий Феликсович;Группа 11;10/1/22;Специалист;Брянск;0;75;67,5;0;1,00
Моисеев Вадим Станиславович;Группа 26;10/1/22;Младший специалист;Кемерово;0;181;27;0;0,96
Андреев Алексей Кириллович;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;45;112;67;0;0,89
Кондратьев Сильвестр Ефимович;Группа 11;10/1/22;Младший специалист;Брянск;0;83;74,7;0;0,50
Гришин Евстафий Андреевич;Группа 32;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;123;110,7;0;0,77
Дроздов Фома Владимирович;Группа 31;10/1/22;Специалист;Чита;0;108;97,2;0;0,68
Носов Лука Васильевич;Группа 19;10/1/22;Специалист;Пенза;0;45;17;0;1,00
Киселёв Хрисанф Вячеславович;Группа 26;10/1/22;Младший специалист;Кемерово;42;141;99;0;0,53
Дмитриев Арсений Павлович;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;38;183;99;46;0,70
Бобылёв Трифон Игнатьевич;Группа 30;10/1/22;Младший специалист;Чита;0;59;53,1;0;0,73
Михайлов Кондрат Тимофеевич;Группа 14;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;51;30;21;0,54
Мамонтов Макар Борисович;Группа 23;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;118;34;0;0,91
Александров Трифон Филиппович;Группа 26;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;94;84,6;0;0,74
Гаврилов Борис Анатольевич;Группа 27;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;41;162;53;68;0,97
Петров Иакинф Валентинович;Группа 6;10/1/22;Младший специалист;Брянск;0;78;70,2;0;0,95
Воробьёв Станислав Романович;Группа 30;10/1/22;Младший специалист;Чита;0;50;45;0;0,76
Кононов Фотий Артемович;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;83;74,7;0;0,88
Логинов Самуил Львович;Группа 9;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;44;10;34;0,96
Николаев Даниил Кириллович;Группа 31;10/1/22;Специалист;Чита;0;56;50,4;0;0,66
Горбунов Ермолай Степанович;Группа 6;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;78;70,2;0;0,57
Сорокин Иакинф Степанович;Группа 16;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;153;151;0;0,82
Орлов Герман Антонович;Группа 29;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;181;106;0;0,53
Калинин Виктор Исаакович;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;58;99;41;0;0,58
Горбунов Филимон Борисович;Группа 27;10/1/22;Младший специалист;Кемерово;0;67;60,3;0;0,75
Тарасов Герман Валентинович;Группа 20;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;174;50;0;0,51
Крюков Родослав Тимофеевич;Группа 24;10/1/22;Младший специалист;Кемерово;0;179;16;0;0,85
Белов Акакий Иванович;Группа 22;10/1/22;Специалист;Пенза;0;181;139;42;0,97
Герасимов Родослав Сергеевич;Группа 16;10/1/22;Младший специалист;Ростов;0;58;48;0;0,93
Орлов Тимофей Николаевич;Группа 30;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;59;53;0;0,78
Дорофеев Тарас Эдуардович;Группа 34;10/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;155;139,5;0;0,68
Блинов Тимофей Ефимович;Группа 8;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;69;62,1;0;0,72
Брагин Виссарион Яковлевич;Группа 18;10/1/22;Младший специалист;Пенза;0;58;32;0;0,85
Куликов Кир Яковлевич;Группа 10;10/1/22;Младший специалист;Брянск;0;122;42;0;0,51
Копылов Федосей Геннадиевич;Группа 32;10/1/22;Специалист;Чита;0;56;50,4;0;0,99
Пахомов Леонид Алексеевич;Группа 16;10/1/22;Специалист;Ростов;0;166;80;59;0,83
Юдин Дорофей Анатольевич;Группа 16;10/1/22;Младший специалист;Ростов;0;116;104,4;11,6;0,61
Денисов Кирилл Денисович;Группа 5;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;69;62,1;0;0,55
Кудрявцев Филат Игнатьевич;Группа 24;10/1/22;Младший специалист;Кемерово;0;131;60;62;0,70
Гришин Серафим Тарасович;Группа 26;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;144;129,6;0;0,64
Бирюков Михаил Леонидович;Группа 21;10/1/22;Младший специалист;Пенза;0;67;60,3;0;0,59
Ефимов Софрон Иваныч;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;102;91,8;10,2;0,77
Стрелков Вавила Федорович;Группа 23;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;39;148;109;0;0,52
Князев Архипп Иванович;Группа 12;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;62;55,8;0;0,80
Горшков Евстафий Владиславович;Группа 14;10/1/22;Специалист;Ростов;0;66;59,4;0;0,68
Горбачёв Лука Степанович;Группа 26;10/1/22;Младший специалист;Кемерово;0;37;11;0;0,96
Нестеров Евсей Иванович;Группа 36;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;63;121;58;0;0,95
Титов Никита Матвеевич;Группа 32;10/1/22;Специалист;Чита;0;55;49,5;0;0,65
Морозов Иннокентий Матвеевич;Группа 26;10/1/22;Специалист;Кемерово;0;170;82;0;0,92
Ширяев Евсей Станиславович;Группа 12;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;94;84,6;0;0,65
Карпов Пантелеймон Юрьевич;Группа 16;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;48;43,2;0;0,62
Тихонов Фома Робертович;Группа 2;10/1/22;Младший специалист;Вологда;0;95;85,5;0;0,66
Дроздов Арсений Борисович;Группа 29;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;42;37,8;0;0,71
Жуков Богдан Иванович;Группа 4;10/1/22;Специалист;Вологда;0;177;51;0;0,55
Потапов Родион Филиппович;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;78;70,2;0;0,53
Третьяков Логгин Геннадиевич;Группа 9;10/1/22;Младший специалист;Брянск;57;151;38;56;0,90
Мамонтов Ираклий Игоревич;Группа 3;10/1/22;Специалист;Вологда;0;91;81,9;0;0,51
Пахомов Геласий Владиславович;Группа 14;10/1/22;Специалист;Ростов;0;181;19;43;0,56
Орехов Фома Валерьевич;Группа 10;10/1/22;Младший специалист;Брянск;0;46;41,4;0;0,79
Наумов Назар Кириллович;Группа 30;10/1/22;Специалист;Чита;0;117;105,3;0;0,65
Белов Мелентий Леонидович;Группа 30;10/1/22;Специалист;Чита;0;160;130;0;0,67
Буров Герасим Леонидович;Группа 24;10/1/22;Младший специалист;Кемерово;0;147;114;33;0,71
Евдокимов Пётр Геннадиевич;Группа 20;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;127;28;0;0,67
Дорофеев Лукьян Антонович;Группа 5;10/1/22;Специалист;Вологда;0;173;48;47;0,57
Куликов Глеб Яковлевич;Группа 27;10/1/22;Специалист;Кемерово;0;37;33,3;0;0,64
Уваров Спиридон Александрович;Группа 30;10/1/22;Младший специалист;Чита;0;108;104;0;0,73
Ефремов Антонин Львович;Группа 24;10/1/22;Специалист;Кемерово;0;74;66,6;0;0,64
Самсонов Олег Кириллович;Группа 8;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;56;50,4;0;0,93
Цветков Пров Олегович;Группа 15;10/1/22;Специалист;Ростов;0;39;38;0;0,78
Ефимов Иван Валерьевич;Группа 16;10/1/22;Младший специалист;Ростов;0;106;95,4;0;0,54
Маслов Ефрем Евгеньевич;Группа 11;10/1/22;Младший специалист;Брянск;0;187;35;0;0,95
Щербаков Кир Львович;Группа 23;10/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;42;159;50;67;0,78
Зыков Парфений Робертович;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;99;89,1;0;0,76
Мельников Мартын Викторович;Группа 26;10/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;45;99;54;0;0,82
Мишин Фома Платонович;Группа 14;10/1/22;Специалист;Ростов;0;51;45,9;0;0,50
Нестеров Сила Дмитриевич;Группа 11;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;35;31,5;0;0,54
Соколов Андрей Платонович;Группа 39;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;45;40,5;0;0,59
Суворов Евгений Борисович;Группа 6;10/1/22;Специалист;Брянск;0;121;114;0;0,55
Тарасов Ермолай Платонович;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;183;14;0;0,86
Юдин Никодим Северинович;Группа 24;10/1/22;Младший специалист;Кемерово;0;81;72,9;0;0,83
Журавлёв Фома Вольфович;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;144;61;0;0,57
Игнатов Евгений Вольфович;Группа 14;10/1/22;Младший специалист;Ростов;0;106;30;0;0,80
Мамонтов Варлам Робертович;Группа 5;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;174;89;0;0,84
Лобанов Владимир Михайлович;Группа 21;10/1/22;Специалист;Пенза;0;97;88;0;0,85
Осипов Григорий Егорович;Группа 38;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;169;97;0;0,80
Быков Фома Валерьевич;Группа 26;10/1/22;Младший специалист;Кемерово;49;168;119;0;0,83
Филатов Никандр Артемович;Группа 2;10/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;90;61;0;0,52
Емельянов Сила Эдуардович;Группа 16;10/1/22;Специалист;Ростов;0;112;54;58;1,00
Щукин Митрофан Ильич;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;122;12;0;0,60
Шубин Федот Андреевич;Группа 30;10/1/22;Младший специалист;Чита;0;170;14;0;0,77
Рожков Макар Борисович;Группа 27;10/1/22;Специалист;Кемерово;0;39;35,1;0;0,73
Карпов Трофим Георгиевич;Группа 30;10/1/22;Специалист;Чита;0;124;103;21;0,77
Агафонов Евстафий Васильевич;Группа 1;10/1/22;Младший специалист;Вологда;0;105;94,5;10,5;0,60
Антонов Леонид Романович;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;88;14;50;0,76
Максимов Никанор Геннадиевич;Группа 4;10/1/22;Младший специалист;Вологда;0;47;42,3;0;0,74
Шестаков Ким Филиппович;Группа 26;10/1/22;Младший специалист;Кемерово;0;187;102;0;0,67
Одинцов Никон Егорович;Группа 21;10/1/22;Специалист;Пенза;0;131;110;0;0,56
Потапов Феоктист Дмитриевич;Группа 6;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;38;34,2;0;0,98
Кудряшов Антонин Николаевич;Группа 13;10/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;36;12;0;0,84
Ширяев Арсений Сергеевич;Группа 10;10/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;112;95;0;0,74
Бобылёв Христофор Валерьевич;Группа 35;10/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;75;74;0;0,85
